day,length
15,0.149
14,0.205
24,0.2
23,0.251
20,0.3
23,0.3
29,0.3
33,0.279
32,0.254
29,0.254
32,0.22599999999999998
23,0.352
28,0.34900000000000003
32,0.34900000000000003
31,0.40099999999999997
23,0.403
24,0.454
42,0.2
52,0.2
42,0.254
49,0.254
55,0.24900000000000003
59,0.251
60,0.3
53,0.3
50,0.3
51,0.352
55,0.352
59,0.361
59,0.40099999999999997
56,0.40099999999999997
52,0.40099999999999997
52,0.454
60,0.454
66,0.454
59,0.503
72,0.601
77,0.601
73,0.503
66,0.34900000000000003
71,0.3
79,0.251
94,0.254
94,0.3
86,0.34900000000000003
91,0.34900000000000003
97,0.352
98,0.375
96,0.403
92,0.403
89,0.403
85,0.503
96,0.701
99,0.701
98,0.8039999999999999
99,0.603
104,0.601
98,0.5549999999999999
101,0.5549999999999999
106,0.5549999999999999
95,0.503
98,0.503
101,0.503
104,0.503
110,0.503
107,0.454
109,0.398
113,0.40099999999999997
109,0.356
110,0.3
118,0.3
148,0.34700000000000003
161,0.40099999999999997
135,0.398
133,0.398
125,0.45199999999999996
131,0.454
117,0.601
123,0.601
132,0.601
126,0.5519999999999999
107,0.701
116,0.701
121,0.75
126,0.701
131,0.701
141,0.701
141,0.5519999999999999
149,0.501
155,0.499
158,0.501
148,0.601
155,0.601
158,0.601
127,0.8019999999999999
139,0.8019999999999999
149,0.8019999999999999
154,0.9039999999999999
157,0.9039999999999999
162,0.8019999999999999
178,0.9039999999999999
178,0.8019999999999999
156,0.701
170,0.701
187,0.599
